ICD10,ICD10 String,old_PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string,PheCode
G92,Toxic encephalopathy,349,Other and unspecified disorders of the nervous system,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS,,0.0,6.0,neurological,NS_345.1
G93.0,Cerebral cysts,348.4,Cerebral cysts,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS,Both,0.0,6.0,neurological,NS_347.1
G95.1,Vascular myelopathies,334,Degenerative disease of the spinal cord,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS,,0.0,6.0,neurological,NS_348.21
H01.1,Noninfectious dermatoses of eyelid,371.33,Noninfectious dermatoses of eyelid,369-374.99,infection/inflammation of eye,Both,0.0,7.0,sense organs,SO_360.5
H02.4,Ptosis of eyelid,374.3,Ptosis of eyelid,369-374.99,infection/inflammation of eye,Both,0.0,7.0,sense organs,SO_361.3
H02.9,"Disorder of eyelid, unspecified",374,Other disorders of eyelids,369-374.99,infection/inflammation of eye,,0.0,7.0,sense organs,SO_362
H03.0,Parasitic infestation of eyelid in diseases classified elsewhere,369,Infection of the eye,369-374.99,infection/inflammation of eye,,0.0,7.0,sense organs,SO_362
H11.4,Other conjunctival vascular disorders and cysts,372,Disorders of conjunctiva,369-374.99,infection/inflammation of eye,,0.0,7.0,sense organs,SO_366.4
H17.8,Other corneal scars and opacities,364.1,Corneal opacity,360-365.99,Degenerative disorders of the eye,Both,0.0,7.0,sense organs,SO_369.1
H18.0,Corneal pigmentations and deposits,364,Corneal opacity and other disorders of cornea,360-365.99,Degenerative disorders of the eye,Both,0.0,7.0,sense organs,SO_369.1
H19.3,Keratitis and keratoconjunctivitis in other diseases classified elsewhere,370,Keratitis,369-374.99,infection/inflammation of eye,Both,0.0,7.0,sense organs,SO_367.3
H25.9,"Senile cataract, unspecified",366.2,Senile cataract,366-366.99,Cataract,Both,0.0,7.0,sense organs,SO_371
H26.9,"Cataract, unspecified",366,Cataract,366-366.99,Cataract,Both,0.0,7.0,sense organs,SO_371
H27.9,"Disorder of lens, unspecified",379.3,Aphakia and other disorders of lens,375-379.99,other eye disorders,Both,0.0,7.0,sense organs,SO_372
H28.8,Other disorders of lens in diseases classified elsewhere,379.3,Aphakia and other disorders of lens,375-379.99,other eye disorders,Both,0.0,7.0,sense organs,SO_371
H30.9,"Chorioretinal inflammation, unspecified",371.1,"Uveitis, noninfectious or NOS",369-374.99,infection/inflammation of eye,Both,0.0,7.0,sense organs,SO_367.9
H34.8,Other retinal vascular occlusions,362.4,Retinal vascular changes and abnomalities,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye,Both,0.0,7.0,sense organs,SO_374.9
H35.3,Degeneration of macula and posterior pole,,,,,,,,,SO_374.5
H35.5,Hereditary retinal dystrophy,362.7,Hereditary retinal dystrophies,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye,Both,0.0,7.0,sense organs,GE_974.1
H35.8,Other specified retinal disorders,362,Other retinal disorders,"250.70-250.79,360-365.99",diabetic retinopathy and degenerative disorders of the eye,,0.0,7.0,sense organs,SO_374
H40.5,Glaucoma secondary to other eye disorders,365,Glaucoma,360-365.99,Degenerative disorders of the eye,,0.0,7.0,sense organs,SO_375.1
H40.6,Glaucoma secondary to drugs,365,Glaucoma,360-365.99,Degenerative disorders of the eye,,0.0,7.0,sense organs,SO_375
H44.0,Purulent endophthalmitis,371,Inflammation of the eye,369-374.99,infection/inflammation of eye,,0.0,7.0,sense organs,SO_367
H47.4,Disorders of optic chiasm,377,Disorders of optic nerve and visual pathways,375-379.99,other eye disorders,,0.0,7.0,sense organs,SO_380
H47.7,"Disorder of visual pathways, unspecified",377,Disorders of optic nerve and visual pathways,375-379.99,other eye disorders,,0.0,7.0,sense organs,SO_380
H50.8,Other specified strabismus,378,Strabismus and other disorders of binocular eye movements,375-379.99,other eye disorders,,0.0,7.0,sense organs,SO_381
H51,Other disorders of binocular movement,378,Strabismus and other disorders of binocular eye movements,375-379.99,other eye disorders,,0.0,7.0,sense organs,SO_382
H51.9,"Disorder of binocular movement, unspecified",378,Strabismus and other disorders of binocular eye movements,375-379.99,other eye disorders,,0.0,7.0,sense organs,SO_382
H52.1,Myopia,367.1,Myopia,367-367.99,Blindness and low vision,Both,0.0,7.0,sense organs,SO_387.2
H53.6,Night blindness,368,Visual disturbances,368-368.99,Visual disturbances/defects,,0.0,7.0,sense organs,SO_386.6
H53.9,"Visual disturbance, unspecified",368,Visual disturbances,368-368.99,Visual disturbances/defects,,0.0,7.0,sense organs,SO_386
H54.2,"Moderate visual impairment, binocular",367.9,Blindness and low vision,367-367.99,Blindness and low vision,Both,0.0,7.0,sense organs,SO_388
H54.5,"Severe visual impairment, monocular",367.9,Blindness and low vision,367-367.99,Blindness and low vision,Both,0.0,7.0,sense organs,SO_388
H60.0,Abscess of external ear,380.1,Otitis externa,380-380.99,disorders of external ear,Both,0.0,7.0,sense organs,SO_390.1
H65.2,Chronic serous otitis media,381.1,Otitis media,381-385.99,otitis media and related conditions,Both,0.0,7.0,sense organs,SO_391.1
H69.0,Patulous Eustachian tube,381.2,Eustachian tube disorders,381-385.99,otitis media and related conditions,Both,0.0,7.0,sense organs,SO_391.23
H74.3,Other acquired abnormalities of ear ossicles,385.5,Tympanosclerosis and middle ear disease related to otitis media,381-385.99,otitis media and related conditions,Both,0.0,7.0,sense organs,SO_391.5
H74.8,Other specified disorders of middle ear and mastoid,385,Other disorders of middle ear and mastoid,381-385.99,otitis media and related conditions,,0.0,7.0,sense organs,SO_391
H75.0,Mastoiditis in infectious and parasitic diseases classified elsewhere,381.3,Mastoiditis & related conditions,381-385.99,otitis media and related conditions,Both,0.0,7.0,sense organs,SO_393
H83.2,Labyrinthine dysfunction,386.3,Labyrinthitis,386-386.99,conditions associated with dizziness or vertigo,Both,0.0,7.0,sense organs,SO_395
H83.9,"Disease of inner ear, unspecified",386,Vertiginous syndromes and other disorders of vestibular system,386-386.99,conditions associated with dizziness or vertigo,,0.0,7.0,sense organs,SO_395
I05.2,Mitral stenosis with insufficiency,394.2,Mitral valve disease,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.13
I05.9,"Mitral valve disease, unspecified",394.2,Mitral valve disease,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.1
I06.0,Rheumatic aortic stenosis,394.3,Aortic valve disease,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.21
I07,Rheumatic tricuspid valve diseases,394.7,Disease of tricuspid valve,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.3
I07.1,Tricuspid insufficiency,394.7,Disease of tricuspid valve,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.32
I08.2,Disorders of both aortic and tricuspid valves,395.2,Nonrheumatic aortic valve disorders,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.3
I09.2,Chronic rheumatic pericarditis,420.22,Chronic pericarditis,420-425.99,Other peri-; endo-; and myocarditis,Both,0.0,8.0,circulatory system,CV_410.1
I11.0,Hypertensive heart disease with (congestive) heart failure,401.21,Hypertensive heart disease,401-405.99,HYPERTENSIVE DISEASE,Both,0.0,8.0,circulatory system,CV_424
I12.9,Hypertensive renal disease without renal failure,401.22,Hypertensive chronic kidney disease,401-405.99,HYPERTENSIVE DISEASE,Both,0.0,8.0,circulatory system,GU_582.2
I13.0,Hypertensive heart and renal disease with (congestive) heart failure,401.2,Hypertensive heart and/or renal disease,401-405.99,HYPERTENSIVE DISEASE,Both,0.0,8.0,circulatory system,GU_582.2
I21.9,"Acute myocardial infarction, unspecified",411.2,Myocardial infarction,410-414.99,ISCHEMIC HEART DISEASE,Both,0.0,8.0,circulatory system,CV_404.11
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction,414,Other forms of chronic heart disease,410-414.99,ISCHEMIC HEART DISEASE,Both,0.0,8.0,circulatory system,CV_404.1
I27.1,Kyphoscoliotic heart disease,415.2,Chronic pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,Both,0.0,8.0,circulatory system,CV_406.12
I27.8,Other specified pulmonary heart diseases,415.2,Chronic pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,Both,0.0,8.0,circulatory system,CV_406
I28,Other diseases of pulmonary vessels,415,Pulmonary heart disease,415-417.99,DISEASES OF PULMONARY CIRCULATION,,0.0,8.0,circulatory system,CV_408
I31.1,Chronic constrictive pericarditis,420.22,Chronic pericarditis,420-425.99,Other peri-; endo-; and myocarditis,Both,0.0,8.0,circulatory system,CV_410.1
I31.9,"Disease of pericardium, unspecified",420.2,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,Both,0.0,8.0,circulatory system,CV_411
I32.0,Pericarditis in bacterial diseases classified elsewhere,420.2,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,Both,0.0,8.0,circulatory system,CV_410.1
I32.1,Pericarditis in other infectious and parasitic diseases classified elsewhere,420.2,Pericarditis,420-425.99,Other peri-; endo-; and myocarditis,Both,0.0,8.0,circulatory system,CV_410.1
I34.9,"Nonrheumatic mitral valve disorder, unspecified",395.1,Nonrheumatic mitral valve disorders,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.1
I35.2,Aortic (valve) stenosis with insufficiency,394.3,Aortic valve disease,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.22
I36.8,Other nonrheumatic tricuspid valve disorders,395.3,Nonrheumatic tricuspid valve disorders,394-399.99,heart valve disorders,Both,0.0,8.0,circulatory system,CV_413.3
I40.8,Other acute myocarditis,420.1,Myocarditis,420-425.99,Other peri-; endo-; and myocarditis,Both,0.0,8.0,circulatory system,CV_410.3
I44.5,Left posterior fascicular block,426.32,Left bundle branch block,426-427.99,cardiac conduction disorders,Both,0.0,8.0,circulatory system,CV_416.42
I45.1,Other and unspecified right bundle-branch block,426.31,Right bundle branch block,426-427.99,cardiac conduction disorders,Both,0.0,8.0,circulatory system,CV_416.43
I47,Paroxysmal tachycardia,427.1,"Paroxysmal tachycardia, unspecified",426-427.99,cardiac conduction disorders,,0.0,8.0,circulatory system,CV_416.1
I47.2,Ventricular tachycardia,427.12,Paroxysmal ventricular tachycardia,426-427.99,cardiac conduction disorders,Both,0.0,8.0,circulatory system,CV_416.12
I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation,459.9,Circulatory disease NEC,458-459.99,other circulatory symptoms/findings/disorders,Both,0.0,8.0,circulatory system,CV_431.12
I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified",430.1,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_431.12
I60.9,"Subarachnoid haemorrhage, unspecified",430.1,Subarachnoid hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_431.12
I61.1,"Intracerebral haemorrhage in hemisphere, cortical",430.2,Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_431.12
I61.4,Intracerebral haemorrhage in cerebellum,430.2,Intracerebral hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_431.12
I62.1,Nontraumatic extradural haemorrhage,430,Intracranial hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,,0.0,8.0,circulatory system,CV_430.4
I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",430,Intracranial hemorrhage,430-438.99,CEREBROVASCULAR DISEASE,,0.0,8.0,circulatory system,CV_430
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,433.2,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_431.11
I63.4,Cerebral infarction due to embolism of cerebral arteries,433.21,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_440.21
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",433.21,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_440.15
I64,"Stroke, not specified as haemorrhage or infarction",433.21,"Cerebral artery occlusion, with cerebral infarction",430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_431.1
I66.0,Occlusion and stenosis of middle cerebral artery,433.2,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_433.1
I66.2,Occlusion and stenosis of posterior cerebral artery,433.2,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_433.1
I66.8,Occlusion and stenosis of other cerebral artery,433.2,Occlusion of cerebral arteries,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_433.1
I67.2,Cerebral atherosclerosis,433.12,Cerebral atherosclerosis,430-438.99,CEREBROVASCULAR DISEASE,Both,0.0,8.0,circulatory system,CV_436.5
I68.8,Other cerebrovascular disorders in diseases classified elsewhere,433,Cerebrovascular disease,430-438.99,CEREBROVASCULAR DISEASE,,0.0,8.0,circulatory system,CV_433
I70,Atherosclerosis,440,Atherosclerosis,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system,CV_436
I71.2,"Thoracic aortic aneurysm, without mention of rupture",442.1,Aortic aneurysm,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",Both,0.0,8.0,circulatory system,CV_438.12
I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",442.1,Aortic aneurysm,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",Both,0.0,8.0,circulatory system,CV_438.13
I72,Other aneurysm and dissection,442,Other aneurysm,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system,CV_438
I77.0,"Arteriovenous fistula, acquired",447,Other disorders of arteries and arterioles,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system,CV_441.1
I78,Diseases of capillaries,448,Disease of capillaries,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES",,0.0,8.0,circulatory system,CV_442
I82.1,Thrombophlebitis migrans,452,Other venous embolism and thrombosis,450-457.99,diseases of veins and lymphatics,,0.0,8.0,circulatory system,CV_440.13
I82.3,Embolism and thrombosis of renal vein,452,Other venous embolism and thrombosis,450-457.99,diseases of veins and lymphatics,,0.0,8.0,circulatory system,CV_440.1
I82.8,Embolism and thrombosis of other specified veins,452,Other venous embolism and thrombosis,450-457.99,diseases of veins and lymphatics,,0.0,8.0,circulatory system,CV_440.1
I83.2,Varicose veins of lower extremities with both ulcer and inflammation,454.11,"Varicose veins of lower extremity, symptomtic",450-457.99,diseases of veins and lymphatics,Both,0.0,8.0,circulatory system,CV_444.11
I83.9,Varicose veins of lower extremities without ulcer or inflammation,454.1,Varicose veins of lower extremity,450-457.99,diseases of veins and lymphatics,Both,0.0,8.0,circulatory system,CV_444.11
I86.1,Scrotal varices,454,Varicose veins,450-457.99,diseases of veins and lymphatics,,0.0,8.0,circulatory system,CV_444.15
I86.4,Gastric varices,454,Varicose veins,450-457.99,diseases of veins and lymphatics,,0.0,8.0,circulatory system,CV_444.12
I87.0,Postthrombotic syndrome,452.8,Postphlebitic syndrome,450-457.99,diseases of veins and lymphatics,Both,0.0,8.0,circulatory system,CV_440.11
I88,Nonspecific lymphadenitis,289.4,Lymphadenitis,288-289.99,Other diseases of the blood,Both,0.0,4.0,hematopoietic,BI_177.1
J02,Acute pharyngitis,465.2,Acute pharyngitis,460-469.99,acute upper respiratory infections,Both,0.0,9.0,respiratory,RE_465.1
J13,Pneumonia due to Streptococcus pneumoniae,480.11,Pneumococcal pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory,RE_468.21
J15.3,"Pneumonia due to streptococcus, group B",480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory,RE_468.2
J15.5,Pneumonia due to Escherichia coli,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory,RE_468.2
J15.8,Other bacterial pneumonia,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory,RE_468.2
J18.9,"Pneumonia, unspecified",480,Pneumonia,480-488.99,Pneumonia and influenza,,0.0,9.0,respiratory,RE_468
J20.6,Acute bronchitis due to rhinovirus,483,Acute bronchitis and bronchiolitis,480-488.99,Pneumonia and influenza,,0.0,9.0,respiratory,RE_469.1
J20.7,Acute bronchitis due to echovirus,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,RE_469.1
J21.8,Acute bronchiolitis due to other specified organisms,483,Acute bronchitis and bronchiolitis,480-488.99,Pneumonia and influenza,,0.0,9.0,respiratory,RE_470
J21.9,"Acute bronchiolitis, unspecified",483,Acute bronchitis and bronchiolitis,480-488.99,Pneumonia and influenza,,0.0,9.0,respiratory,RE_470
J30.3,Other allergic rhinitis,476,Allergic rhinitis,470-479.99,other/chronic upper respiratory disease,,0.0,9.0,respiratory,SS_840.8
J32.8,Other chronic sinusitis,475,Chronic sinusitis,470-479.99,other/chronic upper respiratory disease,,0.0,9.0,respiratory,RE_462.2
J36,Peritonsillar abscess,474,Acute and chronic tonsillitis,470-479.99,other/chronic upper respiratory disease,,0.0,9.0,respiratory,RE_466.3
J42,Unspecified chronic bronchitis,496.2,Chronic bronchitis,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma",Both,0.0,9.0,respiratory,RE_474
J43,Emphysema,496.1,Emphysema,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma",Both,0.0,9.0,respiratory,RE_474.1
J62,Pneumoconiosis due to dust containing silica,500.2,Pneumoconiosis,500-509.99,Pneumoconioses and other lung diseases,Both,0.0,9.0,respiratory,RE_477.1
J62.0,Pneumoconiosis due to talc dust,500.2,Pneumoconiosis,500-509.99,Pneumoconioses and other lung diseases,Both,0.0,9.0,respiratory,RE_477.1
J63.8,Pneumoconiosis due to other specified inorganic dusts,500.2,Pneumoconiosis,500-509.99,Pneumoconioses and other lung diseases,Both,0.0,9.0,respiratory,RE_477.1
J67.5,Mushroom-worker lung,500.1,Extrinsic allergic alveolitis,500-509.99,Pneumoconioses and other lung diseases,Both,0.0,9.0,respiratory,RE_477.2
E24.8,Other Cushing syndrome,255.11,Cushing's syndrome,251-259.99,Other endocrine disorders,Both,0.0,3.0,endocrine/metabolic,EM_211.1
E27.4,Other and unspecified adrenocortical insufficiency,255.21,Glucocorticoid deficiency,251-259.99,Other endocrine disorders,Both,0.0,3.0,endocrine/metabolic,EM_211
E34.5,Androgen resistance syndrome,259,Other endocrine disorders,251-259.99,Other endocrine disorders,,0.0,3.0,endocrine/metabolic,GE_981
E50.2,Vitamin A deficiency with corneal xerosis,261.1,Vitamin A deficiency,260-264.99,Nutritional deficiencies,Both,0.0,3.0,endocrine/metabolic,EM_232
E50.7,Other ocular manifestations of vitamin A deficiency,261.1,Vitamin A deficiency,260-264.99,Nutritional deficiencies,Both,0.0,3.0,endocrine/metabolic,EM_232
E51,Thiamine deficiency,261.2,Vitamin B-complex deficiencies,260-264.99,Nutritional deficiencies,Both,0.0,3.0,endocrine/metabolic,EM_232.2
E51.1,Beriberi,261.2,Vitamin B-complex deficiencies,260-264.99,Nutritional deficiencies,Both,0.0,3.0,endocrine/metabolic,EM_232.2
E61.1,Iron deficiency,262,Mineral deficiency NEC,260-264.99,Nutritional deficiencies,Both,0.0,3.0,endocrine/metabolic,EM_247.8
E61.4,Chromium deficiency,262,Mineral deficiency NEC,260-264.99,Nutritional deficiencies,Both,0.0,3.0,endocrine/metabolic,EM_247.8
E63.0,Essential fatty acid [EFA] deficiency,263,Other nutritional deficiency,260-264.99,Nutritional deficiencies,,0.0,3.0,endocrine/metabolic,EM_234
E66.0,Obesity due to excess calories,278.1,Obesity,278-278.99,Obesity,Both,0.0,3.0,endocrine/metabolic,EM_236
E66.8,Other obesity,278.1,Obesity,278-278.99,Obesity,Both,0.0,3.0,endocrine/metabolic,EM_236
E70.9,"Disorder of aromatic amino-acid metabolism, unspecified",270.1,Disturbances of amino-acid transport,269-270.99,Disorders of amino-acid transport/metabolism,Both,0.0,3.0,endocrine/metabolic,GE_962
E72.1,Disorders of sulfur-bearing amino-acid metabolism,270.11,Disturbances of sulphur-bearing amino-acid metabolism,269-270.99,Disorders of amino-acid transport/metabolism,Both,0.0,3.0,endocrine/metabolic,GE_962
E72.4,Disorders of ornithine metabolism,270.21,Disorders of urea cycle metabolism,269-270.99,Disorders of amino-acid transport/metabolism,Both,0.0,3.0,endocrine/metabolic,GE_962.5
E73.0,Congenital lactase deficiency,271.3,Intestinal disaccharidase deficiencies and disaccharide malabsorption,271-271.99,Disorders of carbohydrate transport &amp; metabolism,Both,0.0,3.0,endocrine/metabolic,GE_964
E74.4,Disorders of pyruvate metabolism and gluconeogenesis,271.9,Other disorders of carbohydrate transport and metabolism,271-271.99,Disorders of carbohydrate transport &amp; metabolism,Both,0.0,3.0,endocrine/metabolic,GE_964
E76.3,"Mucopolysaccharidosis, unspecified",271.9,Other disorders of carbohydrate transport and metabolism,271-271.99,Disorders of carbohydrate transport &amp; metabolism,Both,0.0,3.0,endocrine/metabolic,GE_963
E77.1,Defects in glycoprotein degradation,277.51,Lipoprotein disorders,277-277.99,Other/unspecified disorders of metabolism,Both,0.0,3.0,endocrine/metabolic,GE_963
E78.6,Lipoprotein deficiency,277.51,Lipoprotein disorders,277-277.99,Other/unspecified disorders of metabolism,Both,0.0,3.0,endocrine/metabolic,GE_965
E79.0,Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,790.6,Other abnormal blood chemistry,790-790.99,Nonspecific findings on examination of blood,Both,0.0,17.0,symptoms,EM_252
E80.6,Other disorders of bilirubin metabolism,277.4,Disorders of bilirubin excretion,277-277.99,Other/unspecified disorders of metabolism,,0.0,3.0,endocrine/metabolic,EM_252
E86,Volume depletion,276.5,Hypovolemia,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance",Both,0.0,3.0,endocrine/metabolic,EM_256
E88.2,"Lipomatosis, not elsewhere classified",277.5,Other disorders of lipoid metabolism,277-277.99,Other/unspecified disorders of metabolism,,0.0,3.0,endocrine/metabolic,CA_139.5
E89.3,Postprocedural hypopituitarism,258,Iatrogenic endocrine disorders,251-259.99,Other endocrine disorders,,0.0,3.0,endocrine/metabolic,EM_209.2
F00.9,"Dementia in Alzheimer disease, unspecified",290.1,Dementias,290-292.99,dementia and related cognitive disorders/symptoms,Both,0.0,5.0,mental disorders,NS_328.1
F02.1,Dementia in Creutzfeldt-Jakob disease,290.1,Dementias,290-292.99,dementia and related cognitive disorders/symptoms,Both,0.0,5.0,mental disorders,NS_328
F05.8,Other delirium,290.2,Delirium due to conditions classified elsewhere,290-292.99,dementia and related cognitive disorders/symptoms,Both,0.0,5.0,mental disorders,MB_308
F10,Mental and behavioural disorders due to use of alcohol,316,Substance addiction and disorders,316-319.99,Substance-related disorders,,0.0,5.0,mental disorders,MB_280
F10.6,"Mental and behavioural disorders due to use of alcohol, Amnesic syndrome",317.1,Alcoholism,316-319.99,Substance-related disorders,Both,0.0,5.0,mental disorders,NS_329
F11.1,"Mental and behavioural disorders due to use of opioids, harmful use",316,Substance addiction and disorders,316-319.99,Substance-related disorders,,0.0,5.0,mental disorders,MB_280.21
F12.2,"Mental and behavioural disorders due to use of cannabinoids, dependence syndrome",316,Substance addiction and disorders,316-319.99,Substance-related disorders,,0.0,5.0,mental disorders,MB_280.31
F15.8,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders",316,Substance addiction and disorders,316-319.99,Substance-related disorders,,0.0,5.0,mental disorders,MB_280
F16.8,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders",316,Substance addiction and disorders,316-319.99,Substance-related disorders,,0.0,5.0,mental disorders,MB_280
F18.1,"Mental and behavioural disorders due to use of volatile solvents, harmful use",290.3,Other persistent mental disorders due to conditions classified elsewhere,290-292.99,dementia and related cognitive disorders/symptoms,Both,0.0,5.0,mental disorders,MB_280
F18.2,"Mental and behavioural disorders due to use of volatile solvents, dependence syndrome",290.3,Other persistent mental disorders due to conditions classified elsewhere,290-292.99,dementia and related cognitive disorders/symptoms,Both,0.0,5.0,mental disorders,MB_280
F19.8,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other mental and behavioural disorders",290.3,Other persistent mental disorders due to conditions classified elsewhere,290-292.99,dementia and related cognitive disorders/symptoms,Both,0.0,5.0,mental disorders,MB_280
F20.1,Hebephrenic schizophrenia,295.1,Schizophrenia,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_287
F20.6,Simple schizophrenia,295.1,Schizophrenia,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_287
F20.8,Other schizophrenia,295.1,Schizophrenia,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_287
F21,Schizotypal disorder,301.1,Schizoid personality disorder,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_296
F31.0,"Bipolar affective disorder, current episode hypomanic",296.1,Bipolar,295-306.99,psychological disorders,,0.0,5.0,mental disorders,MB_286.1
F31.2,"Bipolar affective disorder, current episode manic with psychotic symptoms",296.1,Bipolar,295-306.99,psychological disorders,,0.0,5.0,mental disorders,MB_286.1
F31.8,Other bipolar affective disorders,296.1,Bipolar,295-306.99,psychological disorders,,0.0,5.0,mental disorders,MB_286
F40.9,"Phobic anxiety disorder, unspecified",300.13,Phobia,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_288
F41.0,Panic disorder [episodic paroxysmal anxiety],300.12,"Agorophobia, social phobia, and panic disorder",295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_288
F50.0,Anorexia nervosa,305.21,Anorexia nervosa,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_293
F51.1,Nonorganic hypersomnia,327.1,Hypersomnia,327-328.99,Sleep disorders,Both,0.0,6.0,neurological,NS_333
F60.0,Paranoid personality disorder,301,Personality disorders,295-306.99,psychological disorders,,0.0,5.0,mental disorders,MB_296
F71,Moderate mental retardation,315.3,Mental retardation,312-315.99,Developmental/behavioral disorders,Both,0.0,5.0,mental disorders,MB_300
F72.9,"Severe mental retardation, without mention of impairment of behaviour",315.3,Mental retardation,312-315.99,Developmental/behavioral disorders,Both,0.0,5.0,mental disorders,MB_300
F80.0,Specific speech articulation disorder,315.2,Speech and language disorder,312-315.99,Developmental/behavioral disorders,Both,0.0,5.0,mental disorders,MB_302.1
F80.1,Expressive language disorder,315.2,Speech and language disorder,312-315.99,Developmental/behavioral disorders,Both,0.0,5.0,mental disorders,MB_302.1
F84.0,Childhood autism,313.3,Autism,312-315.99,Developmental/behavioral disorders,Both,0.0,5.0,mental disorders,MB_301
F84.1,Atypical autism,313.3,Autism,312-315.99,Developmental/behavioral disorders,Both,0.0,5.0,mental disorders,MB_301
F93.0,Separation anxiety disorder of childhood,313,Pervasive developmental disorders,312-315.99,Developmental/behavioral disorders,,0.0,5.0,mental disorders,MB_307
F93.1,Phobic anxiety disorder of childhood,300.13,Phobia,295-306.99,psychological disorders,Both,0.0,5.0,mental disorders,MB_307
F94.0,Elective mutism,313,Pervasive developmental disorders,312-315.99,Developmental/behavioral disorders,,0.0,5.0,mental disorders,MB_307
